No.,Placement ID,X,Y,Angle,Component Name,Place/Adhesive,Mark,Area Bad Mark,Skip,Trial,Layer,Placement Monitor,Machine,Adhe Skip,Adhesive Test,Adhesive Machine
1,BGA1,47.39,11.82,180,BGA48_8000X6000_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
2,BGA2,47.52,19.95,180,BGA48_8000X6000_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
3,BGA3,123.09,13.86,180,BGA48R08_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
4,BGA4,123.09,27.06,180,BGA48R08_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
5,C1,8.1,178.38,0,C1210_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
6,C2,8.35,182.6,0,C1210_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
7,C3,10.77,74.1,180,TANTD_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
8,C4,8.61,186.56,0,C1210_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
9,C5,11.02,80.2,180,TANTD_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
10,C6,8.86,190.27,0,C1210_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
11,C7,11.27,85.78,180,TANTD_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
12,C8,9.11,193.72,0,C1210_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
13,C9,11.53,90.86,180,TANTD_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
14,C10,9.37,196.92,0,C1210_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
15,C11,9.5,200,0,C1210_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
16,C12,12,163,45,C1206_800_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
17,C13,13.99,178.38,0,C1210_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
